Quanto costa morire,Francesco De Masi,spotify:track:6EWgQkbpK6QOPqGCdMFYCX
Una colt bruciata,Francesco De Masi,spotify:track:3qJZ8AkwxkQW1Sn4SqGWn3
Deserto in controluce,Francesco De Masi,spotify:track:3peWupJvwAqGyPpDri9JVh
Una ballata per i disertori,Francesco De Masi,spotify:track:7GkZjSv1BXK9aNIJybghV4
C'e' sempre una vita,Francesco De Masi,spotify:track:5e9czFFb45l4y7kIQbn0gR
Anche la morte ha un volto,Francesco De Masi,spotify:track:540ArPhV0Xw2OpRT8c8TM3
Boomerang,Francesco De Masi,spotify:track:1XgSpn8VjVakxnaVALzSGN
Vendetta coraggio e amore,Francesco De Masi,spotify:track:3MwAH9CJqyES8Wi7Dwa11W
Spara forte,Francesco De Masi,spotify:track:4XFwRbiA1c3SyPty2Th6mD
Find a Man,Francesco De Masi,spotify:track:6beVYer4kHxsUX16Jpjs6X
Suspence al villaggio,Francesco De Masi,spotify:track:33ZRLpnN5ARvvbg30Cxsx3
In memoria,Francesco De Masi,spotify:track:1iHpzKYqKyhrSaoyOBsPie
"Ranch ""el senor""",Francesco De Masi,spotify:track:4La7Y0NgLXBAn06ujSetxm
Mamma oh mamma,Francesco De Masi,spotify:track:23OVF6q40mrU6T3BzBdnDl
Emily e Johnny,Francesco De Masi,spotify:track:0ypn6cDvhO8CjM6oLUGcNC
La medaglia,Francesco De Masi,spotify:track:1ediiTkeXL7SVgEzyUc2z4
Cercando un fantasma,Francesco De Masi,spotify:track:18murBz3ZsKG4Yh3rtTUuF
Passi nel tempo,Francesco De Masi,spotify:track:2QSLPDb91mh02feZsD9nYV
Agguato misterioso,Francesco De Masi,spotify:track:5uMzb8DxvlvGsy2ZjIdnlJ
Il villaggio di Santana,Francesco De Masi,spotify:track:61RjcC7XMTJ8Z8xmEPdOdE
Nel covo di Satana,Francesco De Masi,spotify:track:0zB4eKOMj4ywLfvZIwJ4rl
"Addio, Orace",Francesco De Masi,spotify:track:268jLY1aZJJTYlCJ2DxKSq
Santana e Johnny,Francesco De Masi,spotify:track:0vDSXxG0FHWlAACIWYWEbD
L'assalto di Santana,Francesco De Masi,spotify:track:6rKHM54mFqkgwR2e2TImqM
Johnny sulla croce,Francesco De Masi,spotify:track:0mV9Hg512q4k46FBfFRkhP
Paura notturna,Francesco De Masi,spotify:track:1LDkJl3EpOzDDOcn4T7AOF
Non c'e' scampo,Francesco De Masi,spotify:track:6WT1U6nJ3OWTrQWF3xAacF
Tema di Johnny,Francesco De Masi,spotify:track:2d5aOwF9jCL17z342Ykj4L
Suspence al villaggio 2 - Bonus Track,Francesco De Masi,spotify:track:4RpthcEAzTH7xQfdFhYoV3
Il villaggio di Santana 2 - Bonus Track,Francesco De Masi,spotify:track:1Pevo62OCp3CIPLjlExBzY
"Ranch ""el senor"" 2 - Bonus Track",Francesco De Masi,spotify:track:4Vu9emrlSWSM1U6chgonV6
Johnny sulla croce 2 (coro Alt. Take) - Bonus Track,Francesco De Masi,spotify:track:0oy4hOanqqWX1InXCJXm3A
Cercando un fantasma 2 - Bonus Track,Francesco De Masi,spotify:track:2pxMlluW2Z9jZDwbq3Xytq
Passi nel tempo 2 - Bonus Track,Francesco De Masi,spotify:track:7tTQVKXNcnsgMAMBygLUN4
Agguato misterioso 2 (Film Version) - Bonus Track,Francesco De Masi,spotify:track:6I4OhAAn8LUYR2D59zYxlb
"Ranch ""el senor"" 3 - Bonus Track",Francesco De Masi,spotify:track:6brfz0nBLgRsC87OjtjoZj
Seven Men - Main Titles,Francesco De Masi,spotify:track:0GqgUdubi9VQsGPAvSx8a4
The Defeat of the South,Francesco De Masi,spotify:track:28tvTsxSyLake8rPwn3jaE
The Men Without a Home,Francesco De Masi,spotify:track:4qruL4QVX0qJu6nvIs2wJT
